Date,Open,High,Low,Close,Adj Close,Volume
2017-12-15,113.970001,114.199997,112.389999,113.820000,113.622185,16388000
2017-12-18,114.690002,114.750000,113.250000,113.550003,113.352661,8961800
2017-12-19,113.279999,113.279999,112.080002,112.139999,111.945107,7899400
2017-12-20,112.720001,113.099998,111.989998,112.120003,111.925140,6201900
2017-12-21,112.599998,113.099998,112.320000,112.410004,112.214638,8866400
2017-12-22,112.389999,113.110001,112.250000,112.690002,112.494156,6190100
2017-12-26,112.070000,113.440002,112.070000,112.989998,112.793625,3948900
2017-12-27,112.690002,114.070000,112.650002,114.019997,113.821838,7073100
2017-12-28,114.300003,114.919998,113.989998,114.349998,114.151260,6937100
2017-12-29,114.750000,114.889999,114.019997,114.019997,113.821838,5249000
2018-01-02,114.570000,115.080002,113.949997,114.510002,114.310989,6080900
2018-01-03,114.949997,115.790001,114.660004,115.650002,115.449005,6946100
2018-01-04,116.250000,117.360001,116.029999,116.080002,115.878258,7805300
2018-01-05,116.989998,119.000000,116.419998,118.860001,118.653427,8590500
2018-01-08,118.610001,120.480003,118.070000,119.339996,119.132591,6660700
2018-01-09,119.970001,119.970001,118.660004,119.110001,118.902992,6562400
2018-01-10,118.690002,119.050003,117.459999,118.980003,118.773224,7490300
2018-01-11,118.800003,119.980003,118.680000,119.839996,119.631721,5982100
2018-01-12,120.120003,120.349998,119.709999,120.089996,119.881287,5585800
2018-01-16,121.180000,121.940002,119.910004,120.389999,120.180771,8803800
2018-01-17,121.199997,122.160004,120.730003,121.980003,121.768005,7991500
2018-01-18,122.519997,123.199997,122.029999,123.110001,122.896042,8661000
2018-01-19,123.050003,123.650002,121.919998,122.699997,122.486748,8250700
2018-01-22,122.870003,124.330002,122.400002,124.330002,124.113922,9355000
2018-01-23,124.599998,125.510002,124.209999,124.650002,124.433365,5683300
2018-01-24,125.050003,125.449997,123.709999,124.550003,124.333542,6425200
2018-01-25,125.000000,125.470001,124.629997,125.220001,125.002373,7166400
2018-01-26,125.769997,126.379997,124.760002,126.320000,126.100464,5604900
2018-01-29,126.739998,126.879997,124.690002,124.839996,124.623032,6257900
2018-01-30,123.820000,124.290001,122.839996,123.550003,123.335281,8154400
2018-01-31,123.779999,124.480003,123.040001,124.230003,124.014099,7338200
2018-02-01,124.739998,126.260002,124.099998,125.720001,125.501503,11169700
2018-02-02,123.720001,123.720001,120.699997,120.910004,120.699867,13937700
2018-02-05,118.699997,121.129997,115.010002,116.269997,116.067924,16623900
2018-02-06,115.199997,120.300003,113.250000,119.970001,119.761497,19053300
2018-02-07,120.089996,122.459999,119.209999,119.650002,119.442055,9294000
2018-02-08,119.529999,119.820000,113.540001,113.860001,113.662117,12673400
2018-02-09,114.550003,117.209999,111.019997,116.320000,116.117844,17695500
2018-02-12,117.790001,118.839996,116.879997,118.470001,118.264107,11526300
2018-02-13,117.849998,118.800003,117.129997,118.349998,118.144310,7803900
2018-02-14,117.620003,120.949997,117.500000,120.830002,120.620003,9206400
2018-02-15,121.699997,122.309998,119.970001,122.279999,122.279999,6921300
2018-02-16,121.629997,122.989998,121.570000,121.849998,121.849998,6371400
2018-02-20,121.349998,123.050003,121.019997,122.010002,122.010002,6182800
2018-02-21,122.050003,122.830002,120.410004,120.430000,120.430000,7676100
2018-02-22,120.669998,121.379997,119.620003,120.379997,120.379997,4994000
2018-02-23,121.570000,122.959999,121.220001,122.930000,122.930000,5036900
2018-02-26,123.580002,124.599998,123.320000,124.589996,124.589996,6270500
2018-02-27,124.699997,125.300003,123.349998,123.370003,123.370003,7287200
2018-02-28,123.650002,124.980003,122.879997,122.940002,122.940002,6780900
2018-03-01,123.260002,124.000000,119.620003,120.400002,120.400002,8819600
2018-03-02,119.089996,120.980003,117.860001,120.769997,120.769997,7581900
2018-03-05,120.449997,122.309998,119.440002,121.879997,121.879997,5810200
2018-03-06,122.830002,123.239998,120.669998,121.059998,121.059998,7464400
2018-03-07,120.029999,122.239998,119.699997,121.849998,121.849998,7254100
2018-03-08,121.959999,122.820000,121.169998,122.220001,122.220001,6948900
2018-03-09,123.250000,124.790001,122.870003,124.510002,124.510002,6397700
2018-03-12,124.750000,124.980003,123.480003,124.239998,124.239998,8636000
2018-03-13,124.250000,125.000000,122.900002,123.199997,123.199997,9479500
2018-03-14,124.040001,124.040001,121.900002,122.580002,122.580002,7855000
2018-03-15,123.129997,124.419998,122.699997,123.410004,123.410004,5861900
2018-03-16,123.849998,125.050003,123.330002,124.529999,124.529999,9447100
2018-03-19,123.940002,124.309998,122.279999,123.209999,123.209999,17387800
2018-03-20,123.379997,125.169998,123.300003,124.910004,124.910004,7779700
2018-03-21,124.900002,125.440002,123.070000,123.220001,123.220001,7359500
2018-03-22,122.199997,122.680000,119.699997,119.989998,119.989998,10501500
2018-03-23,119.889999,120.330002,116.760002,117.000000,117.000000,10024300
2018-03-26,119.089996,120.739998,117.800003,120.639999,120.639999,8735400
2018-03-27,121.519997,121.599998,116.739998,117.400002,117.400002,9008600
2018-03-28,116.930000,118.070000,116.029999,116.989998,116.989998,9420400
2018-03-29,117.680000,120.589996,117.040001,119.620003,119.620003,11047800
